Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,GeneroPercibido,HorasJugadas,Recomendado
45,Negativo,[],"['final decepcionante', 'falta de innovación respecto a anteriores entregas', 'sistema de loot aburrido', 'problemas de rendimiento', 'falta de contenido post-lanzamiento']",Difícil,Deportes,,0
46,Neutral,"['atmósfera inmersiva', 'variedad de habilidades', 'sistema de progresión profundo']","['sistema de loot aburrido', 'final decepcionante']",No Mencionado,Estrategia,varias días,1
47,Positivo,"['actuación de voz sobresaliente', 'sistema de progresión profundo', 'personajes memorables', 'gran rejugabilidad', 'combate fluido y satisfactorio']",['sistema de guardado deficiente'],Demasiado Difícil,RPG,200,1
48,Negativo,"['misiones secundarias interesantes', 'combate fluido y satisfactorio']","['falta de innovación respecto a anteriores entregas', 'sistema de combate simplificado']",Demasiado Fácil,Simulación,200,1
49,Positivo,"['sistema de progresión profundo', 'boss fights épicos', 'misiones secundarias interesantes', 'narrativa bien escrita', 'banda sonora excelente']",['interfaz poco intuitiva'],Demasiado Fácil,RPG,150,1
50,Positivo,"['gráficos impresionantes', 'diseño de niveles fantástico']","['falta de contenido post-lanzamiento', 'bugs y glitches frecuentes']",Demasiado Difícil,Aventura,70,1
51,Positivo,"['gran rejugabilidad', 'boss fights épicos']","['diálogos poco naturales', 'sistema de combate simplificado']",Demasiado Difícil,Acción,50,0
52,Neutral,['variedad de habilidades'],"['falta de accesibilidad', 'caída de frames', 'sistema de guardado deficiente']",No Mencionado,Estrategia,20,1
53,Negativo,"['variedad de habilidades', 'mundo abierto detallado']","['falta de accesibilidad', 'problemas de rendimiento', 'diálogos poco naturales']",Demasiado Difícil,Deportes,150,1
54,Positivo,"['optimización técnica', 'mundo abierto detallado', 'misiones secundarias interesantes', 'atmósfera inmersiva']",[],No Mencionado,Otro,40,1
55,Positivo,"['personalización de personaje amplia', 'optimización técnica', 'gran rejugabilidad', 'misiones secundarias interesantes']","['falta de accesibilidad', 'curva de aprendizaje frustrante']",Equilibrado,Estrategia,20,1
56,Positivo,"['narrativa bien escrita', 'sistema de progresión profundo', 'actuación de voz sobresaliente', 'gráficos impresionantes', 'optimización técnica']",[],Equilibrado,Aventura,varias días,1
57,Positivo,"['mecánicas innovadoras', 'boss fights épicos', 'personalización de personaje amplia', 'gráficos impresionantes']",['duración excesiva y repetitiva'],Fácil,Acción,70,1
58,Negativo,['optimización técnica'],"['falta de innovación respecto a anteriores entregas', 'bugs y glitches frecuentes', 'historia predecible']",Equilibrado,Estrategia,200,0
59,Negativo,['multijugador divertido'],"['diálogos poco naturales', 'sistema de loot aburrido', 'final decepcionante', 'mundo vacío y sin vida']",Equilibrado,Otro,80,0
60,Positivo,"['actuación de voz sobresaliente', 'mundo abierto detallado', 'personalización de personaje amplia']",[],No Mencionado,Aventura,60,1
61,Positivo,"['multijugador divertido', 'variedad de habilidades', 'mundo abierto detallado', 'libertad de elección', 'narrativa bien escrita']",['microtransacciones abusivas'],Equilibrado,Aventura,100,1
62,Positivo,"['historia envolvente', 'personalización de personaje amplia', 'variedad de habilidades']",['misiones secundarias repetitivas'],No Mencionado,Otro,30,1
63,Neutral,"['gran rejugabilidad', 'actuación de voz sobresaliente', 'personajes memorables']","['problemas de rendimiento', 'curva de aprendizaje frustrante']",Difícil,Acción,20,1
64,Positivo,"['historia envolvente', 'combate fluido y satisfactorio']","['misiones secundarias repetitivas', 'falta de accesibilidad']",Equilibrado,Acción,70,1
65,Positivo,"['mecánicas innovadoras', 'diseño de niveles fantástico', 'multijugador divertido', 'sistema de progresión profundo', 'gran rejugabilidad']","['falta de innovación respecto a anteriores entregas', 'falta de personalización']",Demasiado Difícil,Deportes,100,1
66,Negativo,[],"['falta de contenido post-lanzamiento', 'sistema de guardado deficiente']",Equilibrado,Acción,50,0
67,Positivo,"['gran rejugabilidad', 'optimización técnica']",[],Equilibrado,RPG,70,1
68,Positivo,"['banda sonora excelente', 'diseño de niveles fantástico', 'boss fights épicos', 'libertad de elección']","['sistema de loot aburrido', 'IA deficiente']",Demasiado Difícil,Estrategia,40,0
69,Neutral,['variedad de habilidades'],['sistema de guardado deficiente'],No Mencionado,Simulación,500,1
70,Positivo,"['boss fights épicos', 'multijugador divertido', 'personalización de personaje amplia', 'optimización técnica']","['falta de innovación respecto a anteriores entregas', 'historia predecible']",Demasiado Difícil,RPG,300,1
71,Negativo,"['diseño de niveles fantástico', 'narrativa bien escrita']","['falta de accesibilidad', 'bugs y glitches frecuentes', 'curva de aprendizaje frustrante', 'problemas de rendimiento']",Fácil,Otro,más de 1000,1
72,Negativo,['misiones secundarias interesantes'],"['interfaz poco intuitiva', 'historia predecible', 'sistema de guardado deficiente']",Equilibrado,Deportes,120,0
73,Positivo,"['optimización técnica', 'variedad de habilidades']",[],No Mencionado,Deportes,10,1
74,Negativo,['sistema de progresión profundo'],"['duración excesiva y repetitiva', 'bugs y glitches frecuentes', 'final decepcionante', 'falta de innovación respecto a anteriores entregas']",Difícil,RPG,60,0
75,Negativo,"['historia envolvente', 'libertad de elección']","['curva de aprendizaje frustrante', 'final decepcionante', 'misiones secundarias repetitivas', 'falta de personalización', 'falta de innovación respecto a anteriores entregas']",No Mencionado,Otro,30,0
76,Positivo,"['personalización de personaje amplia', 'gráficos impresionantes', 'mecánicas innovadoras']","['sistema de loot aburrido', 'historia predecible']",Fácil,Acción,500,1
77,Neutral,"['variedad de habilidades', 'multijugador divertido', 'boss fights épicos']",['sistema de loot aburrido'],Difícil,Otro,70,1
78,Negativo,[],"['sistema de guardado deficiente', 'duración excesiva y repetitiva', 'misiones secundarias repetitivas', 'historia predecible', 'curva de aprendizaje frustrante']",Difícil,Terror,más de 1000,0
79,Positivo,"['narrativa bien escrita', 'mecánicas innovadoras']",['interfaz poco intuitiva'],Fácil,Otro,varias días,1
80,Positivo,"['libertad de elección', 'diseño de niveles fantástico', 'sistema de progresión profundo', 'narrativa bien escrita', 'misiones secundarias interesantes']",['problemas de rendimiento'],Equilibrado,Otro,200,0
81,Positivo,"['combate fluido y satisfactorio', 'multijugador divertido', 'actuación de voz sobresaliente']",['IA deficiente'],Difícil,Acción,más de 1000,0
82,Neutral,['combate fluido y satisfactorio'],"['historia predecible', 'interfaz poco intuitiva', 'curva de aprendizaje frustrante']",Equilibrado,Deportes,20,1
83,Neutral,"['actuación de voz sobresaliente', 'optimización técnica', 'personalización de personaje amplia']","['problemas de rendimiento', 'historia predecible', 'microtransacciones abusivas']",No Mencionado,Simulación,70,1
84,Negativo,['mundo abierto detallado'],"['falta de innovación respecto a anteriores entregas', 'sistema de combate simplificado']",No Mencionado,Simulación,,0
85,Positivo,"['misiones secundarias interesantes', 'combate fluido y satisfactorio']",['microtransacciones abusivas'],Demasiado Difícil,Deportes,50,1
86,Positivo,"['mecánicas innovadoras', 'diseño de niveles fantástico']","['interfaz poco intuitiva', 'falta de accesibilidad']",Fácil,Estrategia,500,0
87,Negativo,['gran rejugabilidad'],"['falta de personalización', 'final decepcionante', 'sistema de combate simplificado', 'historia predecible']",Difícil,Terror,100,0
88,Negativo,['variedad de habilidades'],"['falta de contenido post-lanzamiento', 'caída de frames', 'interfaz poco intuitiva', 'IA deficiente']",Fácil,Deportes,150,0
89,Negativo,"['sistema de progresión profundo', 'boss fights épicos']","['bugs y glitches frecuentes', 'falta de accesibilidad', 'problemas de rendimiento', 'interfaz poco intuitiva']",Equilibrado,Estrategia,150,1
90,Positivo,"['combate fluido y satisfactorio', 'mundo abierto detallado', 'historia envolvente']","['falta de personalización', 'falta de innovación respecto a anteriores entregas']",Demasiado Fácil,Terror,40,1
91,Positivo,"['personajes memorables', 'libertad de elección', 'combate fluido y satisfactorio', 'atmósfera inmersiva']",['duración excesiva y repetitiva'],Demasiado Difícil,Simulación,50,1
92,Positivo,"['actuación de voz sobresaliente', 'mundo abierto detallado', 'gran rejugabilidad', 'banda sonora excelente', 'combate fluido y satisfactorio']",['microtransacciones abusivas'],No Mencionado,Deportes,150,1
93,Positivo,"['mundo abierto detallado', 'gran rejugabilidad', 'atmósfera inmersiva', 'boss fights épicos', 'sistema de progresión profundo']",[],No Mencionado,Terror,30,1
94,Negativo,['personalización de personaje amplia'],"['mundo vacío y sin vida', 'microtransacciones abusivas']",No Mencionado,Acción,500,0
95,Neutral,"['combate fluido y satisfactorio', 'historia envolvente']","['problemas de rendimiento', 'falta de personalización', 'interfaz poco intuitiva']",Demasiado Fácil,Acción,70,1
96,Neutral,['personalización de personaje amplia'],"['sistema de loot aburrido', 'falta de accesibilidad']",No Mencionado,Aventura,300,1
97,Negativo,['boss fights épicos'],"['problemas de rendimiento', 'diálogos poco naturales', 'falta de contenido post-lanzamiento', 'falta de innovación respecto a anteriores entregas', 'duración excesiva y repetitiva']",Fácil,Terror,30,0
98,Neutral,"['atmósfera inmersiva', 'historia envolvente']","['caída de frames', 'curva de aprendizaje frustrante', 'falta de contenido post-lanzamiento']",Demasiado Fácil,Otro,20,0
99,Negativo,"['actuación de voz sobresaliente', 'diseño de niveles fantástico']","['misiones secundarias repetitivas', 'falta de accesibilidad']",Fácil,Acción,60,1
